R		Longitude
12.8965517241   90
10.6857142857   90
9.58974358974   90	
8.34821428571   90
11.6073183489   100
10.0272977466   100
9.31706908141   100
8.4609478563    100
11.2116286328   110
8.58303523011   110
16.7775977817   120
11.6907462276   120
10.1517726211   120
8.3682344792    120
16.9467275466   130
11.321470227    130
8.35133776553   130
11.9706566738   140
8.68423088508   140
16.6964285714   150
11.835443038    150
8.90476190476   150
13.5376307278   160
10.616378174    160
9.23652131835   160
16.0732829891   170
7.8811070038    170
8.5             180
