L	R(kpc)	V(km/s)
0	0.0	130
1	0.14	203
2	0.29	259.6
3	0.44	240.5
4	0.59	190.3
5	0.74	203.17
6	0.88	207.9
7	1.03	211.81
8	1.18	212.6
10	1.47	213.20
12	1.76	191.74
15	2.19	196.94
17	2.48	196.32
20	2.9	195.2
21	3.04	198.8
24	2.19	196.9
25	3.59	191.97
27	3.85	196.87
32	4.50	215.58
35	4.87	212.18
38	5.23	215.44
40	5.46	206.41
45	6.01	215.56
47	6.21	218.89
50	6.51	217.52
55	6.96	221.21
60	7.36	218.52
62	7.50	217.24
65	7.70	217.38
67	7.82	210.51
70	7.98	212.70
72	8.08	212.23
75	8.21	212.50


